Artist|Spotify ID|Genres
Dion|15FyiY3ChN0QRspHIQYq0W|['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']
Sam Cooke|6hnWRPzGGKiapVX1UCdEAC|['adult standards', 'brill building pop', 'christmas', 'classic soul', 'rock-and-roll', 'soul']
Bobby Hamilton|4KMie4yaFEDP1jD0U6udiS|[]
Toni Arden|3f47kMra4vxv9McXckx3up|[]
Jerry Lee Lewis|2zyz0VJqrDXeFDIyrfVXSo|['adult standards', 'brill building pop', 'piano rock', 'rock-and-roll', 'rockabilly', 'traditional country']
The Platters|6KWcxMWVNVIYbdOQyJtsSy|['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'folk rock', 'lounge', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'vocal jazz']
Jimmy Bowen|6nUcMkLeIkY6By8FS5vj0V|[]
Lee Andrews|3mFuZPYNpQfxCrwK3gg526|['doo-wop']
Paul Anka|7ceUfdWq2t5nbatS6ollHh|['adult standards', 'brill building pop', 'canadian pop', 'christmas', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']
Fats Domino|09C0xjtosNAIXP36wTnWxd|['adult standards', 'brill building pop', 'christmas', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']
Little Anthony|0naKsryrOp7b16pJy9OROi|[]
The Diamonds|3s9kaLrpplvv4vIzZBYPga|['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']
Marty Robbins|0Xi59sEw38vRvwleSAVqoo|['christmas', 'country gospel', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country']
Royal Teens|2Eh0ohSsLOW7RzToNAsRkg|[]
Tony Bennett|2lolQgalUvZDfp5vvVtTYV|['adult standards', 'christmas', 'easy listening', 'vocal jazz']
Kitty Wells|4fxdqujwhb2NIQyr7qnnPX|['country gospel', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country', 'western swing']
Little Willie John|3mOiEPe870jJrahcf2TPYZ|['rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']
Joe South|7s2L0cftC6UBVVxADuyfwS|['bubblegum pop', 'folk rock', 'merseybeat']
The Playmates|1bpcq3dBWR6ykfx2Sod8Fy|[]
Billy Vaughn|6ZzOIAEw7joAghyA80c6D0|['adult standards', 'ballroom', 'christmas', 'easy listening', 'lounge', 'romantico', 'space age pop']
The Champs|3yt4IVDHz0luREG9Uf9xrp|['rock-and-roll', 'rockabilly']
Jimmy Reed|41ZMMuFFLPTVPkUsSI5KlV|['blues', 'blues-rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rhythm and blues', 'rock-and-roll', 'traditional blues']
Tennessee Ernie Ford|7u6FSuqT3SWE2kO8rNVjfp|['christmas', 'country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']
Jerry Wallace|3dE4AKlTQ3EW6yU6F9LuQT|['country gospel', 'nashville sound']
Bobby Helms|38EmEgXkgK51MT2tPY0EoC|['christmas']
Oscar McLollie|4N6kLmDfBx4mwM17ZwCpK0|['jump blues']
Roger Williams|55CCS64lPz88twUDVquU1u|['adult standards', 'ballroom', 'christmas', 'easy listening', 'lounge']
The Four Preps|5MsnoFODDc5nxWrjm99Zew|['christmas', 'deep adult standards', 'vocal harmony group']
The Jamies|2Ltwdhr24434z5cGEv2vvq|[]
The Upbeats|5fbq6W6HAncSYaFtlQi7fF|['drum and bass', 'jungle', 'liquid funk', 'neurofunk']
Jim Backus|6tdcr3Jo2khaGnN99NT2YM|[]
Bill Doggett|6xGdsn4r7laoQDz0zbm1nY|['jazz organ', 'rhythm and blues', 'soul jazz']
Betty Madigan|6RW0WlYW12qTl5Q6pTO6yu|[]
The Quin-Tones|1LKeVNHnNqcwu3teGB3a3o|['classic girl group']
Les Paul|2hkZGvBotqZ7uBBUnBwmLC|['space age pop']
Tommy Edwards|1ObAu0tz0NlOI6FNHTXchD|['adult standards', 'brill building pop', 'christmas', 'deep adult standards', 'doo-wop', 'rhythm and blues', 'rock-and-roll']
The Gaylords|6meQXl5saAZt5MZnQcKCWF|['deep adult standards', 'vocal harmony group']
Tommy Mara|3jzfuZ4XrDuFbHbPFHSPul|[]
The DeCastro Sisters|4AXHSUtE5n3OiGTMt97ANp|['deep adult standards']
Count Basie|2jFZlvIea42ZvcCw4OeEdA|['adult standards', 'bebop', 'big band', 'christmas', 'cool jazz', 'jazz', 'jazz piano', 'lounge', 'stride', 'swing', 'vocal jazz']
Chuck Berry|293zczrfYafIItmnmM3coR|['blues-rock', 'christmas', 'classic rock', 'folk rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']
